State,District,Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Bagasse_Tonnes,Trash_Tonnes,Press_Mud_Tonnes,Bagasse_Ton_per_Ha,Trash_Ton_per_Ha,Press_Mud_Ton_per_Ha
Bihar,Purbi champaran,1997 - 1998,8891.0,425718.0,47.88,119201.04000000001,51086.159999999996,17028.72,13.406400000000001,5.7456000000000005,1.9152000000000002
Bihar,Purnia,1997 - 1998,473.0,21720.0,45.92,6081.6,2606.4,868.8000000000001,12.857600000000001,5.5104,1.8368000000000002
Bihar,Rohtas,1997 - 1998,722.0,36562.0,50.64,10237.36,4387.44,1462.48,14.179200000000002,6.0767999999999995,2.0256
Bihar,Saharsa,1997 - 1998,26.0,1117.0,42.96,312.76000000000005,134.04,44.68,12.028800000000002,5.1552,1.7184000000000001
Bihar,Samastipur,1997 - 1998,3399.0,135273.0,39.8,37876.44,16232.76,5410.92,11.144,4.776,1.5919999999999999
Bihar,Saran,1997 - 1998,520.0,17579.0,33.81,4922.120000000001,2109.48,703.16,9.466800000000001,4.0572,1.3524
Bihar,Sheikhpura,1997 - 1998,16.0,866.0,54.13,242.48000000000002,103.92,34.64,15.156400000000001,6.4956000000000005,2.1652
Bihar,Sheohar,1997 - 1998,1539.0,76247.0,49.54,21349.160000000003,9149.64,3049.88,13.871200000000002,5.9448,1.9816
Bihar,Sitamarhi,1997 - 1998,6251.0,252548.0,40.4,70713.44,30305.76,10101.92,11.312000000000001,4.848,1.6159999999999999
Bihar,Siwan,1997 - 1998,6550.0,177156.0,27.05,49603.68000000001,21258.719999999998,7086.24,7.574000000000001,3.246,1.082
Bihar,Vaishali,1997 - 1998,72.0,1699.0,23.6,475.72,203.88,67.96000000000001,6.608000000000001,2.832,0.9440000000000001
Gujarat,Ahmadabad,1997 - 1998,600.0,39000.0,65.0,10920.000000000002,4680.0,1560.0,18.200000000000003,7.8,2.6
Gujarat,Amreli,1997 - 1998,5800.0,427000.0,73.62,119560.00000000001,51240.0,17080.0,20.6136,8.8344,2.9448000000000003
Gujarat,Banas kantha,1997 - 1998,100.0,7000.0,70.0,1960.0000000000002,840.0,280.0,19.6,8.4,2.8000000000000003
Gujarat,Bharuch,1997 - 1998,12400.0,759000.0,61.21,212520.00000000003,91080.0,30360.0,17.138800000000003,7.3452,2.4484
